,Brands,Model,Processor,RAM,ROM,Battery,Screen_Size,Prices
368,Xiaomi,Mi,2.0,4,64,5299,10.28,29107
369,Nokia,T21,3.2,4,64,7040,10.61,18999
370,Samsung,Galaxy,2.0,4,64,8000,10.61,25999
371,Xiaomi,Redmi,2.2,6,64,8000,10.4,16999
372,Xiaomi,Redmi,2.0,4,128,7100,10.58,19499
373,Realme,Pad,2.96,4,32,8040,10.5,16490
374,Samsung,Galaxy,96.0,4,128,7040,10.4,22990
375,Samsung,Galaxy,3.2,8,256,8040,10.95,20999
376,Vivo,Pad,2.0,4,64,5299,10.28,28990
377,Realme,Pad,2.2,3,64,7100,10.9,14999
378,Realme,Pad,2.0,4,64,5299,10.28,27999
379,Xiaomi,Mi,2.65,4,64,5299,10.28,28448
380,Apple,iPad,65.0,6,128,8340,10.4,62900
381,Realme,Pad,3.2,4,64,5299,10.28,19999
382,Xiaomi,Pad,2.0,4,128,5299,10.28,34999
383,Samsung,Galaxy,2.84,6,256,8720,14.6,111999
384,Xiaomi,Mi,84.0,6,64,7100,10.95,28448
385,Realme,Pad,2.96,4,64,5299,10.28,16490
386,Samsung,Galaxy,96.0,4,64,5299,10.28,32999
387,Xiaomi,Mi,2.3,4,256,5299,10.28,29107
388,Samsung,Galaxy,2.2,4,128,5299,10.28,25999
389,Motorola,Moto,3.0,4,64,5299,10.28,19999
390,Lenovo,Tab,2.2,4,64,5299,10.28,23999
391,Xiaomi,Redmi,2.0,6,128,8720,10.2,19499
392,Realme,Pad,2.2,12,64,11200,12.4,25999
393,Apple,iPad,2.0,4,64,8340,10.36,28990
394,Xiaomi,Mi,2.2,8,128,8600,10.4,39999
395,OnePlus,Pad,2.0,4,64,5299,10.28,39999
396,Xiaomi,Mi,3.2,4,64,5299,10.28,29107
397,Nokia,T21,2.0,4,128,5299,10.28,18999
398,Samsung,Galaxy,2.2,6,64,10090,10.61,25999
399,Xiaomi,Redmi,2.0,4,64,5299,10.28,16999
400,Xiaomi,Redmi,2.96,4,64,5299,10.28,19499
401,Realme,Pad,96.0,4,64,5299,10.28,16490
402,Samsung,Galaxy,3.2,6,64,8720,10.61,22990
403,Samsung,Galaxy,2.0,4,64,5299,10.28,20999
404,Vivo,Pad,2.2,4,64,8200,10.4,28990
405,Realme,Pad,2.0,4,128,7040,10.58,14999
406,Realme,Pad,2.65,4,64,5299,10.28,27999
407,Xiaomi,Mi,65.0,4,64,5299,10.28,28448
408,Apple,iPad,3.2,4,32,8000,10.5,62900
409,Realme,Pad,2.0,4,64,5299,10.28,19999
410,Xiaomi,Pad,2.84,4,64,5299,10.28,34999
411,Samsung,Galaxy,84.0,4,64,5299,10.28,111999
412,Xiaomi,Mi,2.96,6,128,8000,10.4,28448
413,Realme,Pad,96.0,4,256,7100,10.95,16490
414,Samsung,Galaxy,2.3,4,64,8040,10.9,32999
415,Xiaomi,Mi,3.0,4,128,7040,10.4,29107
416,Samsung,Galaxy,2.2,4,64,5299,10.28,25999
417,Motorola,Moto,2.0,4,64,5299,10.28,19999
418,Lenovo,Tab,2.2,4,128,5299,10.28,23999
419,Xiaomi,Redmi,2.0,4,64,5299,10.28,19499
420,Realme,Pad,2.2,8,256,8040,14.6,25999
421,Apple,iPad,2.0,4,64,5299,10.28,28990
422,Xiaomi,Mi,3.2,3,64,7100,10.95,39999
423,OnePlus,Pad,2.0,4,64,5299,10.28,39999
424,Xiaomi,Mi,2.2,6,64,8340,10.2,29107
425,Nokia,T21,2.0,6,64,8720,12.4,18999
426,Samsung,Galaxy,2.96,6,256,7100,10.36,25999
427,Xiaomi,Redmi,96.0,4,64,5299,10.28,16999
428,Xiaomi,Redmi,3.2,4,128,5299,10.28,19499
429,Realme,Pad,2.0,6,128,8720,10.4,16490
430,Samsung,Galaxy,2.2,12,64,11200,10.61,22990
431,Samsung,Galaxy,2.0,4,64,8340,10.61,20999
432,Vivo,Pad,2.65,4,64,5299,10.28,28990
433,Realme,Pad,65.0,8,64,8600,10.4,14999
434,Realme,Pad,3.2,4,64,5299,10.28,27999
435,Xiaomi,Mi,2.0,4,64,5299,10.28,28448
436,Apple,iPad,2.84,6,64,10090,10.58,62900
437,Realme,Pad,2.2,4,64,5299,10.28,19999
438,Xiaomi,Pad,2.2,4,128,5299,10.28,34999
439,Samsung,Galaxy,84.0,6,64,8720,10.5,111999
440,Xiaomi,Mi,2.96,4,128,8200,10.4,28448
441,Realme,Pad,96.0,4,64,7040,10.95,16490
442,Samsung,Galaxy,2.3,4,64,5299,10.28,32999
443,Xiaomi,Mi,3.0,4,64,8000,10.9,29107
