,Brands,Model,Colors,RAM,ROM,Battery,Screen_Size,Prices
305,SAMSUNG,Galaxy,Pink Gold),2,64,2685,31.5,66999
306,SAMSUNG,Galaxy,Pink Gold),3,64,2800,26.67,19999
307,APPLE,iPad,5th gen) 64 GB ROM 10.9 Inch with Wi-Fi Only ,4,128,10200,27.69,54900
308,APPLE,iPad,5th gen) 256 GB ROM 10.9 Inch with Wi-Fi Only ,2,32,2685,27.69,68900
309,APPLE,iPad,9th Gen) 256 GB ROM 10.2 inch with Wi-Fi Only ,4,64,2800,25.91,43500
310,APPLE,iPad,4th Gen) 64 GB ROM 10.9 inch with Wi-Fi Only ,4,256,2800,27.69,49900
311,APPLE,iPad,6th Gen) 64 GB ROM 8.3 inch with Wi-Fi Only ,3,32,5000,21.08,44759
312,SAMSUNG,Galaxy,Angora Blu...,2,32,5000,26.42,24999
313,APPLE,iPad,5th gen) 64 GB ROM 10.9 Inch with Wi-Fi Only ,3,64,7100,27.69,54900
314,APPLE,iPad,9th Gen) 256 GB ROM 10.2 inch with Wi-Fi Only ,8,32,7040,25.91,44900
315,Lenovo,IdeaPad,16 GB/512 GB SSD/Windows 11 Home) 14ALC7 Thin and Lig...,2,16,10090,35.56,61790
316,APPLE,iPad,6th Gen) 256 GB ROM 8.3 inch with Wi-Fi+5G ,3,32,7040,21.08,71480
317,Lenovo,Tab,2nd Gen) 2 GB RAM 32 GB ROM 8 inch with Wi-Fi Only Tablet ,4,64,7040,20.32,10499
318,APPLE,iPad,4th Generation) 6 GB RAM 128 GB ROM 12.9 inch with Wi-Fi Only ,2,64,2685,32.77,85900
319,DELL,Core,16 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) Inspiron 7420 Thin and Light ...,2,64,2685,35.56,107990
320,APPLE,iPad,5th Generation) 8 GB RAM 256 GB ROM 12.9 inches with Wi-Fi Only ,2,64,5000,32.77,99900
321,I,Kall,Green),4,8,4000,20.32,7489
322,SAMSUNG,Galaxy,Graphite),8,64,10090,37.08,115490
323,DELL,Inspiron,8 GB/512 GB SSD/Windows 10/2 GB Graphics) Inspiron 5410 2 in 1 Lapto...,2,128,10090,35.56,77890
324,APPLE,iPad,5th Generation) 8 GB RAM 256 GB ROM 12.9 inches with Wi-Fi Only ,2,64,2685,32.77,99900
325,SAMSUNG,Galaxy,Black),2,64,2685,31.5,45999
326,FUSION5,9.6,White),2,256,2685,24.38,7999
327,DELL,Core,16 GB/512 GB SSD/Windows 10/2 GB Graphics) Inspiron 5410 2 in 1 Laptop,2,256,5000,35.56,81490
